TenDiaDanh,DiaChi,NoiDung,ImageURL
Viện Hải Dương Học,"Số 1 Cầu Đá, Thành phố Nha Trang, Khánh Hòa","Vị trí: Viện Hải Dương Học nằm trên một khu đất cao ráo, rộng rãi tại số 1, Cầu Đá, thành phố Nha Trang, tỉnh Khánh Hòa.
	Ðặc điểm: Được thành lập năm 1923, là một trong những cơ sở nghiên cứu khoa học được ra đời sớm nhất ở Việt Nam và được coi là cơ sở lưu trữ hiện vật và nghiên cứu về biển lớn nhất Đông Nam Á.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/KhanhHoa/VienHaiDuonghoc/33Vienhaiduonghoc02JPG.jpg
Khu du lịch Con Sẻ Tre,"Khu du lịch Con Sẻ Tre nằm trải dài ở phía nam đảo Hòn Tre thuộc vịnh Nha Trang, thành phố Nha Trang, tỉnh Khánh Hòa, đối diện và cách bờ biển Nha Trang 3km.","Ðặc điểm: Từ một hòn đảo đá, Con Sẻ Tre được xây dựng thành một khu du lịch thơ mộng tại Nha Trang.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/33KDLsetre02.jpg
Khu du lịch Hòn Ngọc Việt,"Đảo Hòn Tre, Phường Vĩnh Nguyên, Thành phố Nha Trang, Khánh Hòa","Vị trí: Khu du lịch Hòn Ngọc Việt - Khu liên hợp du lịch và giải trí quốc tế VinPearl, nằm ở phía bắc đảo Hòn Tre, thuộc phường Vĩnh Nguyên, Tp. Nha Trang, tỉnh Khánh Hoà.
	Đặc điểm: Đến đây, du khách không chỉ được nghỉ dưỡng và tắm biển mà còn có cơ hội được chăm sóc sức khỏe và tham gia các hoạt động nghệ thuật, vui chơi, giải trí, du lịch kết hợp thể thao…",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/KhanhHoa/KDLHonNgocViet/VinpearlLand11.jpg
Khu du lịch Hồ cá Trí Nguyên,"nằm trên đảo Bồng Nguyên (hay còn gọi là Hòn Miễu) thuộc vịnh Nha Trang, thành phố Nha Trang, tỉnh Khánh Hòa, cách trung tâm thành phố Nha Trang 5km về phía nam.",Ðặc điểm: khu du lịch là bộ sưu tập các loài sinh vật biển theo mô hình mở.,http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/KhanhHoa/HocaTriNguyen/TriNguyenFishPond2.jpg
Văn miếu Diên Khánh,"Văn miếu Diên Khánh tọa lạc tại khóm Phú Lộc Tây, thị trấn Diên Khánh, huyện Diên Khánh, tỉnh Khánh Hòa.","Ðặc điểm: Được xây dựng theo truyền thống nho giáo trước đây, nhằm ghi nhận công lao của những người có tài, học giỏi, đã được đỗ đạt.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/33VMdienkhanh01.jpg
Đền thờ Trần Quý Cáp,"Đền thờ Trần Quý Cáp nằm bên cạnh cầu Sông Cạn, thuộc thị trấn Diên Khánh, huyện Diên Khánh, tỉnh Khánh Hòa.",Ðặc điểm: Đền thờ Trần Quý Cáp được xây dựng trên phần đất tục danh là Gò Chết chém (gò này có tên từ khi cụ Trần Quý Cáp nằm xuống).,http://csdl.vietnamtourism.gov.vn/uploads/images/icon/33DenTQCap01.jpg
Thành cổ Diên Khánh,"Thành cổ Diên Khánh tọa lạc tại thị trấn Diên Khánh, huyện Diên Khánh, tỉnh Khánh Hòa.","Ðặc điểm: Thành cổ Diên Khánh được chúa Nguyễn Ánh xây dựng năm 1793, diện tích khoảng 36.000m2, là một quần thể kiến trúc quân sự theo kiểu Vauban, một hình mẫu thành quân sự phổ biến vào thế kỷ 17 - 18 ở Tây Âu.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/33Thanhdienkhanh01.jpg
Khu du lịch sinh thái Suối Hoa Lan,"Khu du lịch sinh thái Suối Hoa Lan (còn gọi là Suối Tử Sĩ) thuộc xã Ninh Phú, huyện Ninh Hòa, tỉnh Khánh Hòa, cách thành phố Nha Trang khoảng 18km về phía bắc.","Ðặc điểm: Đến với khu du lịch sinh thái Suối Hoa Lan, du khách sẽ được chiêm ngưỡng vẻ đẹp tự nhiên của biển và được hít thở bầu không khí trong lành của rừng cây, thác nước.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/33KDLhoalan02.jpg
Bán đảo Đầm Môn,"Đầm Môn nằm trong vịnh Văn Phong, thuộc xã Vạn Thạnh, huyện Vạn Ninh, tỉnh Khánh Hòa, cách thành phố Nha Trang khoảng 80km theo quốc lộ 1A về phía bắc (cách 45km theo đường biển).","Ðặc điểm: Bán đảo Đầm Môn hấp dẫn bởi những cồn cát chạy dài, khoảng 20 đảo lớn nhỏ có rừng nguyên sinh, những điều lạ, độc đáo ở làng chài Đầm Môn...",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/33Bandaodammon02.jpg
Bia Võ Cạnh,"Làng Võ Cạnh, Thành phố Nha Trang, Khánh Hòa","Vị trí: Tại làng Võ Cạnh phía tây thành phố Nha Trang, tỉnh Khánh Hoà.
	Ðặc điểm: Bia Võ Cạnh có niên đại khoảng cuối thế kỷ 2 đầu thế kỷ 3, được xem là bia ký đầu tiên bằng chữ Phạn ở Đông Nam Á.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/33Biavocanh01.jpg
Khu du lịch Vĩnh Hy,"Vĩnh Hy thuộc xã Vĩnh Hải, huyện Ninh Hải, tỉnh Ninh Thuận.","Đặc điểm: Vĩnh Hy được ví như nơi nối rừng với biển. Nới đây có làng chài Vĩnh Hy cạnh đó là ốc đảo Vĩnh Hy quyến rũ bởi địa thế hiểm trở, một mặt là biển và 3 bề rừng núi bạt ngàn.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/NinhThuan/KDLVinhHy/VinhHyBay.jpg
Tháp Hòa Lai,"Thôn Ba Tháp, Xã Tân Hải, Huyện Ninh Hải, Ninh Thuận","Vị trí: Tháp Hoà Lai thuộc địa phận thôn Ba Tháp, xã Tân Hải, huyện Ninh Hải, tỉnh Ninh Thuận.
	Đặc điểm: Tháp được xây dựng vào những năm đầu thế kỷ 9, trước đây gồm có 3 tháp, nhưng còn lại 2 tháp là tháp Bắc và tháp Nam.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/44Thaphoalai01.jpg
Tháp Pôrômê,"Thôn Hậu Sanh, Xã Phước Hữu, Huyện Ninh Phước, Ninh Thuận","Vị trí: Tháp Pôrômê thuộc thôn Hậu Sanh, xã Phước Hữu, huyện Ninh Phước, tỉnh Ninh Thuận.
	Đặc điểm: Tháp Pôrômê được coi là một bản sao không hoàn hảo của tháp Pôklông Garai. Công trình là một tổng thể hai tháp: tháp chính thờ vua Pôrômê và tháp phụ thờ Hoàng Hậu.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/44ThapPorome01.jpg
Làng du lịch Cà Ná,"Làng du lịch Cà Ná nằm sát bờ biển, cách thành phố Phan Rang-Tháp Chàm 32km, cách thành phố Phan Thiết 114km.","Đặc điểm: Làng du lịch Cà Ná lưng dựa vào núi, mặt quay ra biển, rất thuận tiện cho du khách đi đường bộ và đường sắt.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/44LangDLCaNa1.jpg
Phố Hiến,"Phố Hiến thuộc thành phố Hưng Yên, tỉnh Hưng Yên.","Đặc điểm: Phố Hiến nổi tiếng là một thương cảng từ thế kỷ 13. Ngày nay, phố Hiến còn gìn giữ được một quần thể kiến trúc cổ và  đặc sản nổi tiếng  là nhãn lồng phố Hiến - Hưng Yên.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HungYen/PhoHien/Phohien03JPG.jpg
Đền Chử Đồng Tử,"Thôn Yên Vĩnh, Xã Dạ Trạch, Huyện Khoái Châu, Hưng Yên","Vị trí: Đền Chử Đồng Tử bao gồm 2 đền: đền Đa Hòa thuộc thôn Đa Hoà, xã Bình Minh, và đền Dạ Trạch thuộc thôn Yên Vĩnh, xã Dạ Trạch, Huyện Khoái Châu, tỉnh Hưng Yên.
	Đặc điểm: Cả hai ngôi đền đều thờ Đức Thánh Chử Đồng Tử và nhị vị phu nhân.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HungYen/DenChuDongTu/Chudongtu04JPG.jpg
Chùa Hiến,"Phố Hiến, Phường Hồng Châu, Thành phố Hưng Yên, Hưng Yên","Vị trí: Chùa Hiến thuộc địa phận Phố Hiến Hạ, nay là đường Phố Hiến, phường Hồng Châu, thị xã Hưng Yên, tỉnh Hưng Yên.
	Đặc điểm: Tương truyền chùa được xây dựng từ thời Trần do Tô Hiến Thành, quan đại thần nhà Lý hưng công xây dựng. Chùa Hiến có tên chữ Hán là “Thiên Ứng tự” theo niên hiệu Thiên Ứng của vua Trần Thái Tông (1232-1250).",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HungYen/ChuaHien/ChuaHien01JPG.jpg
Đền Đậu An,"Thôn An Xá, Xã An Viên, Huyện Tiên Lữ, Hưng Yên","Vị trí: Thôn An Xá, xã An Viên, huyện Tiên Lữ, tỉnh Hưng Yên, cách TP. Hưng Yên khoảng 12 km về phía đông bắc.
	Đặc điểm: Đền được dựng theo phong cách kiến trúc đình, đền của vùng đồng bằng Bắc Bộ, thờ Ngọc Hoàng Thượng đế, Ngũ Lão Tiên ông cùng các vị Thiên tiên, Địa tiên.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/32Dendauan01.jpg
Chùa Nễ Châu,"Nằm trên đường Phố Hiến, xã Hồng Nam, thành phố Hưng Yên, tỉnh Hưng Yên.","Đặc điểm: Chùa Nễ Châu gắn liền với tên tuổi bà Nguyễn Thị Ngọc Thanh, vợ vua Lê Đại Hành.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/IMG5542JPG.jpg
Đền Mẫu,"Đường Bãi Sậy, Phường Quang Trung, Thành phố Hưng Yên, Hưng Yên","Vị trí: Đường Bãi Sậy, phường Quang Trung, thành phố Hưng Yên
	Đặc điểm: Thờ Bà Dương Thiên Hậu (Quý phi họ Dương)",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/32Denmau01JPG.jpg
Đền Ghênh,"Thôn Ngọc Quỳnh, Thị trấn Như Quỳnh, Huyện Văn Lâm, Hưng Yên","Vị trí: Thôn Ngọc Quỳnh, xã Như Quỳnh, huyện Văn Lâm, tỉnh Hưng Yên
	Đặc điểm: Thờ Bà Hoàng Thái hậu Ỷ Lan, người phụ nữ tài giỏi, có công với dân với nước dưới thời kỳ nhà Lý.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/IMG3137-copy.jpg
Suối nước nóng Kim Bôi,"Suối nước khoáng nóng thuộc huyện Kim Bôi, tỉnh Hòa Bình.",Đặc điểm: Là suối khoáng nóng tự nhiên. Suối khoáng rất tốt cho sức khoẻ con người.,http://csdl.vietnamtourism.gov.vn/uploads/images/icon/KimBoiHotSpringTouristSite3.jpg
Hang Mỏ Luông (Hang Bộ Đội),"Nằm trong hệ thống dãy núi Pù Kha, Thị trấn Mai Châu.",Đặc điểm: Hang Mỏ Luông là một địa điểm du lịch lý tưởng cho những du khách thích khám phá và tìm cảm giác lạ khi đến với Mai Châu.,N/A
Thủy điện Hòa Bình,"Nằm ở thành phố Hòa Bình, trên dòng sông Đà, tỉnh Hòa Bình.",Đặc điểm: Là công trình thủy điện lớn nhất của Việt Nam do Liên Xô (cũ) giúp xây dựng. Công trình được khởi công ngày 06/1/1979.,http://csdl.vietnamtourism.gov.vn/uploads/images/icon/31Thuydien01JPG.jpg
Bản dân tộc Mường,"Người Mường sống trong những thung lũng chung quanh là các cánh đồng cấy lúa nước, thuộc tỉnh Hoà Bình.","Đặc điểm: Đến Thung Mây ở độ cao 1.200m so với mặt biển, du khách có thể thấy rõ hơn bức tranh đẹp của xứ Mường, đặc biệt nền văn hoá và đời sống của xứ Mường.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/31DTmuong02JPG.jpg
Động Đá Bạc,"Động Đá Bạc thuộc xã Liên Sơn, huyện Lương Sơn, tỉnh Hòa Bình.","Đặc điểm: Ðộng Ðá Bạc là tác phẩm nghệ thuật tạo hình kỳ lạ của tạo hóa, là sự kết hợp tinh tế giữa điêu khắc và hội họa, giữa tính hoành tráng khỏe khắn với sự duyên dáng thơ mộng.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/31Dongdabac01.jpg
Đền Quốc mẫu Âu Cơ,"Đền được xây trên núi Ốc Sơn, còn gọi là núi Vặn, cao trên 147m so với mặt biển.","Đặc điểm: Đền Quốc mẫu Âu Cơ được thiết kế dựa trên nền kiến trúc độc đáo mang đậm dấu ấn văn hóa của thời kỳ Đông Sơn. Đền thờ Mẹ Âu Cơ, người mẹ huyền thoại, linh thiêng, huyền diệu có công đầu trong việc khai hoang, mở cõi của dân tộc.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/MotherAuCoTemple10.jpg
Vườn quốc gia Xuân Sơn,"Nằm ở điểm cuối cùng của dẫy Hoàng Liên Sơn, Vườn quốc gia Xuân Sơn thuộc địa bàn xã Xuân Sơn, huyện Thanh Sơn, tỉnh Phú Thọ.","Đặc điểm: Với tổng diện tích 15.048 ha, vùng đệm 18.639 ha, trong đó khu bảo vệ nghiêm ngặt là 9.099 ha, Xuân Sơn là vườn quốc gia duy nhất có rừng nguyên sinh trên núi đá vôi (2.432ha). Rừng Xuân Sơn đa dạng sinh thái, đa dạng sinh học cao, đa dạng địa hình kiến tạo nên đa dạng cảnh quan.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/XuanSonNationalPark5.jpg
Động Tiên Phi,nằm trên đỉnh đồi Thúc (còn gọi là đồi Thung Phi) thuộc địa phận TP.,Đặc điểm: trong động có nhiều nhũ đá hình thù kỳ thú,http://csdl.vietnamtourism.gov.vn/uploads/images/icon/dongtienphi.jpg
Đầm Ao Châu,"Thuộc huyện Hạ Hòa, cách thị xã Phú Thọ 50km, cách thành phố Việt Trì 70km.",Đặc điểm: Đầm Ao Châu được coi là một Hạ Long trên đất Phú Thọ. Đây là một tiềm năng du lịch hấp dẫn và đầy triển vọng của đất tổ Vua Hùng.,http://csdl.vietnamtourism.gov.vn/uploads/images/icon/AoChauPond1.jpg
Núi Thắm,"Thuộc huyện Thanh Ba, tỉnh Phú Thọ.","Đặc điểm: Núi Thắm còn có tên là núi Đầu Rồng, dài khoảng 4km chạy dọc lên khu du lịch Thanh Ba.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/45Nuitham01.jpg
Khu di tích đền Hùng,"Nằm trên núi Nghĩa Lĩnh, xã Hy Cương, thành phố Việt Trì, tỉnh Phú Thọ.","Đặc điểm: Đền được xây vào thế kỷ 15, tương truyền nơi đây người con trưởng của Lạc Long Quân và Âu Cơ lên làm vua lấy hiệu Hùng Vương, đặt tên nước là Văn Lang.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/PhuTho/Denhung.jpg
Chợ nổi Phụng Hiệp,"Chợ nổi Phụng Hiệp thuộc thị xã Ngã Bảy, tỉnh Hậu Giang, chợ họp ở ngã bảy Phụng Hiệp.","Đặc điểm: Chợ nổi trên sông, hàng hoá đa dạng phong phú.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/ChoPhunghiep05.jpg
Vũng Rô,"Vũng Rô nằm cuối tỉnh Phú Yên, bên đường quốc lộ, cách thành phố Tuy Hòa 25 km.",Đặc điểm: Vũng Rô là một trong những vịnh đẹp nổi tiếng không chỉ của Phú Yên mà là của cả khu vực ven biển miền Trung.,http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/PhuYen/VungRo/VungRoandNatureReserve3.jpg
Đầm Ô Loan,"nằm ngay dưới chân đèo Quán Cau, thuộc huyện Tuy An, tỉnh Phú Yên, cách thành phố Tuy Hòa về phía bắc khoảng 22 km.",Đặc điểm: đã được Bộ Văn hóa – Thông tin công nhận là danh lam thắng cảnh cấp quốc gia,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/PhuYen/Damoloan/DamOLoan01JPG.jpg
Tháp Nhạn,"Tháp Nhạn nằm bên bờ bắc sông Đà Rằng, gần quốc lộ 1A, thuộc thành phố Tuy Hòa, tỉnh Phú Yên.",Đặc điểm: Tháp là nơi thờ phụng thần linh của người Chăm cổ.,http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/PhuYen/ThapNhan/NhanTower.jpg
Bãi Môn - Mũi Đại Lãnh,"Thôn Đồng Bé, Xã Hòa Tâm, Huyện Đông Hòa, Phú Yên","Vị trí: Danh thắng Bãi Môn - Mũi Đại Lãnh thuộc địa phận thôn Đồng Bé, xã Hoà Tâm, huyện Đông Hoà, tỉnh Phú Yên), cách thành phố Tuy Hoà (Phú Yên) khoảng 35km về phía đông nam.
	Đặc điểm: Đây là nơi hội tụ nhiều nét đẹp của thiên nhiên với rừng, biển, suối và núi đồi. Nơi đây còn có ngọn hải đăng tỏa sáng hàng đêm giúp tàu thuyền qua lại trên biển và vào vịnh Vũng Rô.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/PhuYen/MuiDaiLanh/DaiLanhCape4.jpg
Địa đạo Gò Thì Thùng,"xã An Xuân, huyện Tuy An, tỉnh Phú Yên, cách Tp.Tuy Hoà khoảng 45km về phía bắc.",Đặc điểm: Địa đạo là kỳ tích của quân và dân Phú Yên trong cuộc kháng chiến chống Mỹ cứu nước.,http://csdl.vietnamtourism.gov.vn/uploads/images/icon/46Diadaogothi01.jpg
Khu di tích Phượng Hoàng,"Thuộc địa phận phường Văn An, thị xã Chí Linh, tỉnh Hải Dương, cách Hà Nội khoảng hơn 80km về phía đông.","Đặc điểm: Đây là vùng đất đặc biệt linh thiêng, là nơi có cảnh quan thiên nhiên kỳ thú và nhiều công trình kiến trúc đặc sắc như: đền Chu Văn An, điện Lưu Quang, Miết Trì,…",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaiDuong/DenthoChuVanAn/Chuvanan02JPG.jpg
Khu di tích danh thắng Côn Sơn,"Khu di tích danh thắng Côn Sơn thuộc phường Cộng Hòa, thị xã Chí Linh, tỉnh Hải Dương, cách Hà Nội khoảng 80km về phía đông.","Đặc điểm: Đây là nơi gắn liền với cuộc đời nhiều danh nhân đất Việt, nổi bật nhất là Nguyễn Trãi. Nơi đây cũng là một trong những trung tâm Phật giáo của dòng thiền phái Trúc Lâm Đại Việt được Điều Ngự Giác Hoàng Trần Nhân Tông sáng lập ở thế kỷ 13.",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaiDuong/Ditichconson/ConSon01JPG.jpg
Đảo Cò Chi Lăng Nam,"Nằm giữa lòng hồ An Dương, thuộc địa bàn xã Chi Lăng Nam, huyện Thanh Miện, tỉnh Hải Dương.","Đặc điểm: Đảo Cò Chi Lăng Nam đã trở thành điểm du lịch sinh thái ""độc nhất vô nhị"" của miền Bắc.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/27Daoco06JPG.jpg
Đền thờ Chu Văn An,"Tọa lạc trong khu di tích Phượng Hoàng, thuộc địa phận phường Văn An, thị xã Chí Linh, tỉnh Hải Dương, cách Hà Nội khoảng hơn 80 km về phía đông.","Đặc điểm: Đền mang đậm phong cách kiến trúc thời Nguyễn, thờ thầy giáo Chu Văn An (1292 - 1370).",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/DenChuvanan01.jpg
Đền Kiếp Bạc,"Đền Kiếp Bạc thuộc địa phận hai thôn Vạn Kiếp và Dược Sơn, xã Hưng Đạo, thị xã Chí Linh, tỉnh Hải Dương, cách Hà Nội khoảng 80km, và cách khu di tích danh thắng Côn Sơn 5km.","Đặc điểm: Đền được dựng vào đầu thế kỷ 14, thờ Đức Thánh Trần (Trần Hưng Đạo).",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaiDuong/DenKiepBac/Denkiepbac02JPG.jpg
Suối Nước Moọc,N/A,"Đặc điểm: nơi có thiên nhiên hoang sơ, kỳ thú với nhiều dịch vụ hấp dẫn",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/QuangBinh/Suoinuocmoc/SUOI-NUOC-MOOC.jpg
Di sản thiên nhiên thế giới Phong Nha - Kẻ Bàng,"Phong Nha - Kẻ Bàng thuộc địa phận các huyện Quảng Ninh, Bố Trạch và Minh Hóa, tỉnh Quảng Bình.",Đặc điểm: Phong Nha - Kẻ Bàng được UNESCO công nhận là Di sản Thiên nhiên thế giới.,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/QuangBinh/Phongnhakebang/PhongNhaKeBangNationalPark-11JPG.jpg
Khu mộ Đại tướng Võ Nguyên Giáp,"Thôn Thọ Sơn, Xã Quảng Đông, Huyện Quảng Trạch, Quảng Bình","Vị trí: Khu vực biển Vũng Chùa – Đảo Yến, thuộc thôn Thọ Sơn, xã Quảng Đông, huyện Quảng Trạch, tỉnh Quảng Bình, cách Quốc lộ 1 hơn 2km về phía đông.
	Đặc điểm: Dọc con đường vào viếng mộ Đại tướng có 103 bậc thang bằng gỗ, 103 cây hoa mai và 103 cây hoa ban Điện Biên tượng trưng cho 103 tuổi của Đại tướng.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/QuangBinh/KhumoDaituongVoNguyenGiap/GeneralVoNguyenGiaps.jpg
Suối nước khoáng nóng Bang,"Suối nước khoáng nóng Bang thuộc xã Kim Thủy, huyện Lệ Thủy, cách thành phố Đồng Hới 60km về phía tây nam.","Đặc điểm:Suối khoáng Bang có nhiều tác dụng dược lý, được đánh giá là quý hiếm và rất tốt trong việc chữa trị một số bệnh cho con người.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/BangMineralHotSpring.jpg
Hang Tối,"xã Sơn Trạch, huyện Bố Trạch, tỉnh Quảng Bình, cách TP.","Đặc điểm: đây là hang động duy nhất tại Việt Nam khai thác dịch vụ “tắm bùn hang động”, thu hút rất nhiều du khách đến trải nghiệm.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/QuangBinh/HangToi/ToiDarkCave-12JPG.jpg
Hồ Kẻ Gỗ,"Thuộc huyện Cẩm Xuyên, tỉnh Hà Tĩnh, cách thành phố Vinh 70km về phía nam.",Đặc điểm: Hồ là một cảnh đẹp nhân tạo nằm giữa các sườn đồi.,http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaTinh/HoKeGo/Ke-Go-Lake.jpg
Núi Hồng Lĩnh,"Thuộc xã Thiên Lộc, huyện Can Lộc, tỉnh Hà Tĩnh.",Đặc điểm: Là dãy núi có 99 ngọn,http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaTinh/NuiHongLinh/Hong-Linh-Mount.jpg
Khu di tích thanh niên xung phong Ngã ba Đồng Lộc,"thuộc địa phận xã Đồng Lộc, huyện Can Lộc, tỉnh Hà Tĩnh, cách trung tâm thành phố Hà Tĩnh 20km.",Đặc điểm: là “tượng đài” về ý chí sắt đá và sự hi sinh cao cả của lực lượng thanh niên xung phong trong sự nghiệp chống Mỹ cứu nước.,http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaTinh/KLNNgaBaDongLoc/DongLocRoadJunction-7JPG.jpg
Núi Thiên Cầm,"Thiên Cầm nằm ở huyện Cẩm Xuyên, tỉnh Hà Tĩnh, cách thành phố Hà Tĩnh khoảng 20km.","Đặc điểm: Núi nằm kề biển tạo nên phong cảnh sơn thủy hữu tình, là điểm thu hút khách du lịch của tỉnh Hà Tĩnh",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/26NuiThiencam01JPG.jpg
Khu lưu niệm cụ Nguyễn Du,"Làng Tiên Điền, Thị trấn Tiên Điền, Huyện Nghi Xuân, Hà Tĩnh","Vị trí: Khu lưu niệm cụ Nguyễn Du thuộc làng Tiên Điền, xã Tiên Điền, huyện Nghi Xuân, tỉnh Hà Tĩnh, cách thành phố Hà Tĩnh khoảng 50km, cách Tp. Vinh (Nghệ An) khoảng 8km.
	Đặc điểm: Đến đây, du khách sẽ có dịp biết thêm về cuộc đời và sự nghiệp của Nguyễn Du; đồng thời cũng là dịp hiểu thêm về dòng họ Nguyễn Tiên Điền.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaTinh/KLNNguyenDu/NguyenDuMemorialSite-1JPG.jpg
Đền Chiêu Trưng,"Đền Chiêu Trưng nằm trên địa phận xã Thạch Bàn, huyện Thạch Hà, tỉnh Hà Tĩnh.","Đặc điểm: Đến đây, du khách vừa có dịp được ngắm nhìn phong cảnh thiên nhiên tươi đẹp vừa có dịp biết thêm về lịch sử Việt Nam.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/26DenChieuTrung01.jpg
Bãi biển Xuân Thành,"Bãi biển Xuân Thành nằm trên địa phận xã Xuân Thành, huyện Nghi Xuân, tỉnh Hà Tĩnh, cách Tp.","Đặc điểm: Đến đây, du khách sẽ được hòa mình vào phong cảnh thiên nhiên trong lành, mát mẻ và rất hoang sơ.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/26Bienxuanthanh01.jpg
Chùa và hồ Thiên Tượng,"Chùa Thiên Tượng thuộc xã Trung Lương, thị xã Hồng Lĩnh, nằm trên ngọn núi Thiên Tượng.","Đặc điểm: Chùa được dựng vào đời Trần, vốn là một thắng cảnh đẹp, đã có nhiều tao nhân mặc khách đến và để lại những bài thơ nổi tiếng.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/26Chuahothientuong03.jpg
Đền Trúc - Ngũ Động Sơn,"Thôn Quyển Sơn, Xã Thi Sơn, Huyện Kim Bảng, Hà Nam","Vị trí: Đền Trúc - Ngũ Động Sơn thuộc thôn Quyển Sơn, xã Thi Sơn, huyện Kim Bảng, tỉnh Hà Nam.
	Đặc điểm: Đền Trúc - Ngũ Động Sơn thờ người anh hùng dân tộc Lý Thường Kiệt. Khu danh thắng này có phong cảnh thiên nhiên hữu tình, núi non trùng điệp, có đền Trúc nằm giữa rừng Trúc nên thơ, có hệ thống hang động độc đáo.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaNam/ChuaTrucNguDongSon/Ngudongson03.jpg
Chùa Bà Đanh- Núi Ngọc,"Thôn Đanh Xá, Xã Ngọc Sơn, Huyện Kim Bảng, Hà Nam","Vị trí: Nằm bên bờ sông Đáy, thuộc thôn Đanh Xá, xã Ngọc Sơn, huyện Kim Bảng, tỉnh Hà Nam, cách TP. Phủ Lý hơn 10km về phía tây bắc.
	Đặc điểm: Chùa Bà Đanh gắn liền với câu thành ngữ dân gian “Vắng như chùa Bà Đanh”.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaNam/ChuaBaDanhNuiNgoc/ChuaBaDanh04JPG.jpg
Khu phố cổ Hội An,Thuộc Tp.,"Ðặc điểm: Với những giá trị nổi trội mạng tính toàn cầu, tại kỳ họp thứ 23 từ ngày 29/11 đến ngày 4/12/1999 ở Marrakesh (Morocco), Ủy ban Di sản thế giới của UNESCO đã công nhận Đô thị cổ Hội An là Di sản văn hoá thế giới.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/QuangNam/KhuPhoCoHoiAn/HoiAnancienttown10.jpg
Làng nghề đúc đồng Phước Kiều,"Đặc điểm: Phước Kiều là làng nghề đúc đồng nổi tiếng, đặc biệt về kỹ thuật đúc cồng chiêng.","Đặc điểm: Phước Kiều là làng nghề đúc đồng nổi tiếng, đặc biệt về kỹ thuật đúc cồng chiêng.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/QuangNam/LangPhuocKieu/PhuocKieuBronzeCasting.jpg
